two,dx,dy,dz,dr,atom0,atom1,projection,bond,molecule_label0,molecule_label1
253743,-0.4950186837100006,-1.7010336349259987,0.2824301649679999,1.7939692646350964,591745,591810,13,True,2.0,2.0
253744,-1.3637344955481003,1.2251211875500019,-0.21693916131500046,1.8460109149850157,591745,591811,13,True,2.0,2.0
255395,-0.05840425429800078,-1.4811681514949697,-2.5463659047458,2.9463960139083523,591808,591809,13,False,1.0,1.0
255439,-0.8687158118380998,2.9261548224760006,-0.49936932628300035,3.0929628078703795,591810,591811,13,False,2.0,2.0
256757,0.5073600666570002,-0.14316179549039987,1.7731768982535003,1.849882658285691,591936,592000,13,True,1.0,1.0
256758,0.43417566796100004,-1.6613476620780112,-0.7084051457977001,1.8575312690595858,591936,592001,13,True,1.0,1.0
256790,-0.5101989586725004,-1.7278675060289999,0.2566246409169999,1.8198036438437963,591937,592002,13,True,2.0,2.0
256791,-1.3304518313293006,1.2610217921469982,-0.2851225924000005,1.8551476837314094,591937,592003,13,True,2.0,2.0
258438,-0.07318439869600013,-1.5181858665876113,-2.4815820440512004,2.9100676492267676,592000,592001,13,False,1.0,1.0
258483,-0.8202528726568001,2.988889298175998,-0.5417472333170004,3.146389053607225,592002,592003,13,False,2.0,2.0
259798,0.49668041611199953,-0.09325841157489734,1.7597124714586991,1.8308403942686935,592128,592192,13,True,1.0,1.0
259799,0.40018471452400206,-1.6386203932691892,-0.6852795865557004,1.820668204458539,592128,592193,13,True,1.0,1.0
259830,-0.5553793287258006,-1.7755022339339988,0.23639482958999913,1.875296482409495,592129,592194,13,True,2.0,2.0
259831,-1.3052028915496008,1.2744216502860013,-0.34640487680800014,1.856798715397956,592129,592195,13,True,2.0,2.0
261481,-0.09649570158799747,-1.5453619816942918,-2.4449920580143996,2.894035459120112,592192,592193,13,False,1.0,1.0
261526,-0.7498235628238001,3.04992388422,-0.5827997063979993,3.1943585541825112,592194,592195,13,False,2.0,2.0
262840,0.49019757771100103,-0.042801598668301466,1.7913473064630994,1.857700410296261,592320,592384,13,True,1.0,1.0
262841,0.36503999897299977,-1.6275024207268487,-0.6652982130604004,1.7957282763890872,592320,592385,13,True,1.0,1.0
262873,-0.6175774105552998,-1.8035958835970014,0.21643309843400083,1.9186462038254941,592321,592386,13,True,2.0,2.0
262874,-1.2881219126243995,1.2664241609680005,-0.3997793665679996,1.8501112829233155,592321,592387,13,True,2.0,2.0
264521,-0.12515757873800126,-1.5847008220585472,-2.4566455195234997,2.926097798014188,592384,592385,13,False,1.0,1.0
264566,-0.6705445020690997,3.070020044565002,-0.6162124650020004,3.2022446510705325,592386,592387,13,False,2.0,2.0
265873,0.48381294826000243,0.002514588411202112,1.8485611770844006,1.9108269721465045,592512,592576,13,True,1.0,1.0
265874,0.33474522100000215,-1.6492066773436989,-0.6540748905887996,1.8054780502892118,592512,592577,13,True,1.0,1.0
265905,-0.6832151823482997,-1.7859430742180002,0.19368848778900016,1.921949760019874,592513,592578,13,True,2.0,2.0
265906,-1.2816045024897997,1.2444422850570014,-0.44608492652399967,1.8412328650423173,592513,592579,13,True,2.0,2.0
267550,-0.14906772726000028,-1.651721265754901,-2.5026360676732002,3.002264414450568,592576,592577,13,False,1.0,1.0
267595,-0.5983893201415,3.0303853592750016,-0.6397734143129998,3.1544595774600444,592578,592579,13,False,2.0,2.0
268896,0.469636165294002,0.03726011878309876,1.8988715694052,1.9564405642132738,592704,592768,13,True,1.0,1.0
268897,0.3089049456230022,-1.69617781902312,-0.6452607287551002,1.8408701386165025,592704,592769,13,True,1.0,1.0
268928,-0.7435656833972999,-1.7231019683509992,0.16829306472300054,1.8842220873599378,592705,592770,13,True,2.0,2.0
268929,-1.2873212541165993,1.2174086814820022,-0.4867564711679986,1.8374470798561802,592705,592771,13,True,2.0,2.0
270578,-0.1607312196709998,-1.7334379378062188,-2.5441322981603003,3.0827342992455926,592768,592769,13,False,1.0,1.0
270623,-0.5437555707192994,2.9405106498330014,-0.6550495358909991,3.061268184419749,592770,592771,13,False,2.0,2.0
